Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
14:15:00.000Z,14:30:00.000Z,17.885414922733407,,0.3619725,32.6206727,0.3619725,32.6206727,,,,29,,,,900000,,,,
14:30:00.000Z,14:45:00.000Z,17.88541614888521,,0.3620863,32.620475,0.3643608,32.623729,1.542717222604013,1.638360857963562,1.4026180505752563,183,,,,6945,,,,
14:45:00.000Z,15:00:00.000Z,17.88541618914314,,0.3199679,32.5853561,0.3385135,32.5907273,,,,,,,,,,,,
15:00:00.000Z,15:15:00.000Z,17.88541618914314,,0.3192997,32.5911967,0.3196982,32.5915552,,,,,,,,,,,,
15:15:00.000Z,15:30:00.000Z,58.3867903475645,458.52726170420647,0.3107725,32.5991792,0.3119211,32.6002738,0.8027153700868034,2.383678674697876,0.3641829788684845,582,,,,,607373,,,
15:30:00.000Z,15:45:00.000Z,17.88541529662109,,0.3049848,32.604605,0.3049848,32.604605,,,,79,,,,,,,,
15:45:00.000Z,16:00:00.000Z,23.140493263180648,52.82814693450928,0.2969413,32.609279,0.2969413,32.609279,0.7136043909022831,0.8414473533630371,0.5355877876281738,255,,,,368642,78807,,,
16:00:00.000Z,16:15:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,,,,
16:15:00.000Z,16:30:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,,,,
16:30:00.000Z,16:45:00.000Z,17.885414123535156,,,,,,,,,,,,,900000,,,,
16:45:00.000Z,17:00:00.000Z,17.885414301353187,,,,,,,,,9,,,,900000,,,,
17:00:00.000Z,17:15:00.000Z,45.5808087362557,184.85997533798218,0.2969017,32.6094267,0.2969017,32.6094267,1.1208057749976772,1.4019031524658203,0.28286436200141907,139,,,,716539,,183461,,
17:15:00.000Z,17:30:00.000Z,17.88541621102733,,,,,,,,,11,,,,900000,,,,
17:30:00.000Z,17:45:00.000Z,17.885416323701094,,0.2969413,32.609279,0.2969413,32.609279,,,,57,,,,479495,,,,
17:45:00.000Z,18:00:00.000Z,17.885415811843924,,,,,,,,,8,,,,613360,,,,
18:00:00.000Z,18:15:00.000Z,17.885415512596722,,,,,,,,,27,,,,900000,,,,
18:15:00.000Z,18:30:00.000Z,17.885415745567236,,,,,,,,,54,,,,65613,,,,
18:30:00.000Z,18:45:00.000Z,17.885415763887146,,,,,,,,,,,,,,,,,
18:45:00.000Z,19:00:00.000Z,17.885415763887146,,,,,,,,,,,,,,,,,
19:00:00.000Z,19:15:00.000Z,17.885415763887146,,,,,,,,,,,,,,,,,
19:15:00.000Z,19:30:00.000Z,17.885415657467718,,0.2967498,32.6089773,0.2967534,32.6089861,,,,,,,,118560,,,,
19:30:00.000Z,19:45:00.000Z,17.885414956047356,,0.2969413,32.609279,0.2969413,32.609279,,,,,,,,900000,,,,
19:45:00.000Z,20:00:00.000Z,17.885415840900446,,,,,,,,,,,,,300000,,,540000,60000
20:00:00.000Z,20:15:00.000Z,17.885415694292853,,,,,,,,,,,,,,,,,900000
20:15:00.000Z,20:30:00.000Z,17.885415694292853,,,,,,,,,,,,,,,,,900000
20:30:00.000Z,20:45:00.000Z,17.885416795863186,,,,,,,,,,,,,,,,660000,240000
20:45:00.000Z,21:00:00.000Z,17.885416986258058,,,,,,,,,,,,,,,,300000,600000
21:00:00.000Z,21:15:00.000Z,17.885416816262637,0.5905707196029777,,,,,,,,,,,,,,,900000,
21:15:00.000Z,21:30:00.000Z,17.885416816262637,0.6327543424317618,,,,,,,,,,,,,,,900000,
21:30:00.000Z,21:45:00.000Z,17.885416816262637,0.6327543424317618,,,,,,,,,,,,,,,900000,
21:45:00.000Z,22:00:00.000Z,17.885414833320294,0.6327543424317618,,,,,,,,,,,,,,,60000,840000
22:00:00.000Z,22:15:00.000Z,17.885414691681557,0.6327543424317618,,,,,,,,,,,,,,,,900000
22:15:00.000Z,22:30:00.000Z,17.885414691681557,0.6327543424317618,,,,,,,,,,,,,,,,900000
22:30:00.000Z,22:45:00.000Z,17.885415763043344,0.6327543424317618,,,,,,,,,,,,,,,720000,180000
22:45:00.000Z,23:00:00.000Z,17.88541615134791,0.6327543424317618,,,,,,,,,,,,,,,780000,120000
23:00:00.000Z,23:15:00.000Z,17.88541693436472,0.6327543424317618,,,,,,,,,,,,,,,,900000
23:15:00.000Z,23:30:00.000Z,17.88541693436472,0.6327543424317618,,,,,,,,,,,,,,,,900000
23:30:00.000Z,23:45:00.000Z,17.885416392276163,0.6327543424317618,,,,,,,,,,,,,,,540000,360000
23:45:00.000Z,00:00:00.000Z,17.885416726505056,0.6327543424317618,,,,,,,,,,,,,,,240000,660000
