Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
15:30:00.000Z,15:45:00.000Z,17.885417611791336,,,,,,,,,,,,,,,,,
15:45:00.000Z,16:00:00.000Z,17.885417611791336,,,,,,,,,,,,,,,,,
16:00:00.000Z,16:15:00.000Z,17.885417611791336,,,,,,,,,1,,,,,,,,
16:15:00.000Z,16:30:00.000Z,17.885417611791336,,,,,,,,,,,,,,,,,
16:30:00.000Z,16:45:00.000Z,17.885417611791336,,,,,,,,,,,,,,,,,
16:45:00.000Z,17:00:00.000Z,17.885417611791336,,,,,,,,,,,,,,,,,
17:00:00.000Z,17:15:00.000Z,17.885417611791336,,,,,,,,,,,,,,,,,
17:15:00.000Z,17:30:00.000Z,17.885417611791336,,0.3383373,32.5867786,0.3552528,32.6148198,,,,321,,,,,,,,
17:30:00.000Z,17:45:00.000Z,17.885417611791336,,0.2992211,32.5984251,0.3389066,32.6107654,,,,462,,,,,,,,
17:45:00.000Z,18:00:00.000Z,17.885417611791336,,0.2963751,32.6088815,0.2966639,32.6090347,,,,152,,,,,,,,
18:00:00.000Z,18:15:00.000Z,17.885417611791336,,,,,,,,,20,,,,,,,,
18:15:00.000Z,18:30:00.000Z,17.885417611791336,,0.2963751,32.6090347,0.2963751,32.6090347,,,,210,,,,,,,,
18:30:00.000Z,18:45:00.000Z,17.885417611791336,,0.2966639,32.6088815,0.2966639,32.6088815,,,,80,,,,,,,,
18:45:00.000Z,19:00:00.000Z,17.885416663246808,,0.2963751,32.6088815,0.2966639,32.6090347,,,,7,,,,,,540000,,
19:00:00.000Z,19:15:00.000Z,17.88541603088379,,,,,,,,,,,,,,,900000,,
19:15:00.000Z,19:30:00.000Z,17.88541603088379,,,,,,,,,,,,,,,360000,540000,
