Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-07-08,1927.1067476267701,2385.9948754139436,0.2963973,32.5990582,0.3690531,32.7353004,0.7316214541026926,3.4146671295166016,0.32149195671081543,5085,,,,,61253610,3150836,,8580000,4860000,
2019-07-09,2570.944205718789,4876.252916830013,0.2969345,32.5992064,0.363801,32.6358261,0.5339207852658342,8.621082305908203,0.0,5805,,,,,68211984,5961821,3060000,2820000,4140000,
2019-07-10,1881.7298258005524,1914.6279867887497,0.2963973,32.5862424,0.3533633,32.6147931,0.6778956402919933,6.247135162353516,0.26764437556266785,3845,,,,,79578728,1874901,191820,,,
2019-07-11,1843.5838191785813,2109.9184025526047,0.2963906,32.5936783,0.3624583,32.6211279,1.0242597066361032,7.042943954467773,0.187990203499794,3633,,,,,77462962,1778836,,,,
2019-07-12,1899.056590019455,1997.3560963869095,0.28537,32.5878967,0.3275163,32.6268831,0.7359682399571975,8.984991073608398,0.15045896172523499,5918,,,,,71483765,2405701,142395,,,
2019-07-13,1716.9999412780624,,0.2965479,32.6058598,0.3254163,32.6095661,,,,608,,,,,82608729,,,,,
2019-07-14,1859.488246700363,2443.305103778839,0.2878817,32.6015717,0.2995099,32.6092942,0.8415904263343473,1.619257926940918,0.34162211418151855,4661,,,,,81239513,2136806,,,,
2019-07-15,1854.7447190288256,1367.651516109705,0.2963906,32.5922016,0.3539531,32.6179933,0.8315618668760446,3.1964969635009766,0.3180156946182251,3172,,,,,79903901,1820289,108390,,,
2019-07-16,1867.0691092604063,2808.184787809849,0.2966655,32.594363,0.329289,32.6186119,0.6167937580362062,9.599569320678711,0.027870219200849533,4241,,,,,79006899,2249481,,,,
2019-07-17,1837.6513172758484,1394.7443583011627,0.2963906,32.5886757,0.3274963,32.6114444,0.7001237240873509,2.653393030166626,0.15250585973262787,3786,,,,,79790791,1809332,,,,
2019-07-18,1906.0067945751523,2458.6047718524933,0.2963906,32.5788341,0.3274984,32.6092817,0.5976303290689763,2.983689308166504,0.09397769719362259,4837,,,,,78159833,2834413,,,,
2019-07-19,1818.3224397580527,770.810499548912,0.2969113,32.5359082,0.3538758,32.6102574,0.7811866669158133,7.285892963409424,0.23215124011039734,2889,,,,,76768326,1344737,77183,,,
2019-07-20,1788.0408560115457,657.1008734107018,0.2741991,32.5885322,0.3642561,32.6361583,0.8411065344767883,7.643624782562256,0.27068376541137695,3911,,,,,68086163,1065355,,,,
2019-07-21,1771.5295939541436,414.2544403076172,0.2963906,32.5837565,0.3806571,32.64665,0.7710914506181351,7.271481037139893,0.30477777123451233,2629,,,,,76096472,817746,,,,
2019-07-22,1898.8517674398897,2087.5865218639374,0.2819633,32.5819093,0.3548277,32.6150617,1.0349243504355037,12.6266508102417,0.1960856020450592,5003,,,,,74207094,2727116,,,,
2019-07-23,1842.7809166863633,1732.8840447068214,0.2966746,32.599191,0.3564865,32.6189987,0.7153547801357758,4.242443561553955,0.12023492902517319,2865,,,,,79116997,1886257,,,,
2019-07-24,1984.370590370826,3513.0215480029583,0.29638,32.5943533,0.3531377,32.6162429,0.7416841925138764,10.520922660827637,0.14293767511844635,6012,,,,,75215587,4001747,,,,
